Date,Page Followers,Impressions,Reach,Reactions,Comments,Shares
2026-02-21,128000,25520,13834,440,26,105
2026-02-22,128070,32428,19907,278,48,62
2026-02-23,128117,39444,29233,524,51,58
2026-02-24,128184,46495,31245,827,111,61
2026-02-25,128262,20970,12790,332,56,26
2026-02-26,128297,21660,15731,237,33,60
2026-02-27,128327,22096,13382,492,30,61
2026-02-28,128382,20179,12231,183,52,82
2026-03-01,128408,32702,23869,519,41,124
2026-03-02,128461,19985,11635,268,52,52
2026-03-03,128500,37343,21373,619,51,112
2026-03-04,128559,38838,20758,755,109,45
2026-03-05,128651,33664,17015,806,43,132
2026-03-06,128709,19665,11817,174,46,49
2026-03-07,128756,46807,31772,788,82,213
2026-03-08,128793,21114,11625,373,63,89
2026-03-09,128842,37935,25779,899,65,152
2026-03-10,128915,25392,15825,434,71,26
2026-03-11,128958,20101,11492,185,49,79
2026-03-12,129022,26636,16117,579,58,102
2026-03-13,129112,27657,19734,477,43,90
2026-03-14,129190,22322,13431,557,21,52
2026-03-15,129270,24140,13441,469,28,60
2026-03-16,129290,36313,26558,762,69,160
2026-03-17,129347,50681,33618,957,120,184
2026-03-18,129347,25047,14459,286,33,96
2026-03-19,129366,21074,13241,392,58,65
2026-03-20,129399,41903,23468,475,71,82
2026-03-21,129461,21827,15445,300,63,43
2026-03-22,129517,21184,15048,320,52,49
2026-03-23,129582,42297,25853,913,111,65
2026-03-24,129660,38264,22116,313,33,104
2026-03-25,129751,35723,22613,758,87,109
2026-03-26,129823,33510,19982,489,59,49
2026-03-27,129848,43670,28837,908,88,169
2026-03-28,129915,23418,16778,542,22,60
2026-03-29,129975,36693,26415,302,41,139
2026-03-30,130003,47490,30352,715,48,92
2026-03-31,130082,51707,30164,499,144,143
2026-04-01,130110,24582,17139,430,68,28
2026-04-02,130121,50233,33658,962,49,163
2026-04-03,130168,37893,19186,610,53,153
2026-04-04,130255,32168,22506,635,61,116
2026-04-05,130325,49414,27241,1115,140,104
2026-04-06,130400,49972,30965,650,149,132
2026-04-07,130495,20905,15677,477,27,26
2026-04-08,130546,27242,14842,473,32,72
2026-04-09,130565,31093,21342,281,28,42
2026-04-10,130593,40199,26696,477,50,172
2026-04-11,130631,19735,14095,160,52,57
2026-04-12,130667,22947,15717,406,27,80
2026-04-13,130678,30743,19939,694,27,61
2026-04-14,130697,50871,28581,923,106,83
2026-04-15,130779,50354,28037,511,61,76
2026-04-16,130825,26234,13707,587,31,27
2026-04-17,130856,52070,38015,467,110,81
2026-04-18,130903,34024,23748,523,96,41
2026-04-19,130957,44775,22395,401,125,161
2026-04-20,131046,35814,18115,703,103,147
2026-04-21,131111,25391,15609,348,54,53
2026-04-22,131143,47642,30838,848,141,74
2026-04-23,131160,39236,28357,877,114,98
2026-04-24,131246,43560,26940,500,113,77
2026-04-25,131318,28130,15142,400,68,77
2026-04-26,131371,21975,12376,487,38,103
2026-04-27,131370,33032,19878,635,48,110
2026-04-28,131365,26756,17586,411,60,123
2026-04-29,131411,20265,11955,242,20,44
2026-04-30,131505,49805,26213,449,77,146
2026-05-01,131549,51328,30888,933,102,196
2026-05-02,131580,46286,30558,777,96,202
2026-05-03,131634,32652,20558,808,82,127
2026-05-04,131700,47860,35108,567,93,190
2026-05-05,131763,34682,20777,413,63,88
2026-05-06,131857,45375,33228,732,132,92
2026-05-07,131939,50572,32113,752,49,207
2026-05-08,132021,33683,22144,427,81,55
2026-05-09,132037,22556,13203,332,62,68
2026-05-10,132060,40360,21714,336,84,167
2026-05-11,132117,39850,27723,503,34,190
2026-05-12,132178,25415,15846,297,54,86
2026-05-13,132212,49482,32275,602,68,204
2026-05-14,132240,26140,13811,564,50,66
2026-05-15,132264,20146,11964,429,59,80
2026-05-16,132345,33706,25219,693,97,56
2026-05-17,132432,34266,18334,467,69,111
2026-05-18,132506,38696,25682,811,98,167
2026-05-19,132557,45128,25710,980,50,87
2026-05-20,132592,51513,37596,1027,125,178
2026-05-21,132641,23075,17017,404,36,83
