date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count,follower_growth
2026-04-01,facebook,111712,16751,,128,,,,,128
2026-04-02,facebook,112101,26896,,212,,,,,389
2026-04-03,facebook,112398,23494,,177,,,,,297
2026-04-04,facebook,112739,33887,,234,,,,,341
2026-04-05,facebook,113019,38691,,271,,,,,280
2026-04-06,facebook,113308,37067,,240,,,,,289
2026-04-07,facebook,113485,78082,,161,,,,,177
2026-04-08,facebook,113653,54578,,226,,,,,168
2026-04-09,facebook,113866,61074,,184,,,,,213
2026-04-10,facebook,114066,44530,,205,,,,,200
2026-04-11,facebook,114263,40626,,157,,,,,197
2026-04-12,facebook,114535,14484,,183,,,,,272
2026-04-13,facebook,114769,12454,,169,,,,,234
2026-04-14,facebook,114884,6887,,112,,,,,115
2026-04-15,facebook,114987,6466,,104,,,,,103
2026-04-16,facebook,115119,6643,,126,,,,,132
2026-04-17,facebook,115211,5823,,83,,,,,92
2026-04-18,facebook,115349,7289,,123,,,,,138
2026-04-19,facebook,115492,8641,,114,,,,,143
2026-04-20,facebook,115609,10713,,99,,,,,117
2026-04-21,facebook,115771,12026,,119,,,,,162
2026-04-22,facebook,115907,9465,,108,,,,,136
2026-04-23,facebook,115955,7569,,43,,,,,48
2026-04-24,facebook,116056,19358,,84,,,,,101
2026-04-25,facebook,116132,21960,,52,,,,,76
2026-04-26,facebook,116236,33827,,72,,,,,104
2026-04-27,facebook,116332,24240,,68,,,,,96
2026-04-28,facebook,116402,16476,,102,,,,,70
2026-04-29,facebook,116501,17364,,133,,,,,99
2026-04-30,facebook,116582,15630,,200,,,,,81
