date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-05-01,facebook,116687,,,,,,,
2026-05-02,facebook,116792,,,,,,,
2026-05-03,facebook,116897,,,,,,,
2026-05-04,facebook,117002,,,,,,,
2026-05-05,facebook,117107,,,,,,,
2026-05-06,facebook,117212,,,,,,,
2026-05-07,facebook,117318,,,,,,,
2026-05-08,facebook,117423,,,,,,,
2026-05-09,facebook,117528,,,,,,,
2026-05-10,facebook,117633,,,,,,,
2026-05-11,facebook,117738,,,,,,,
2026-05-12,facebook,117843,,,,,,,
2026-05-13,facebook,117948,,,,,,,
2026-05-14,facebook,118053,,,,,,,
2026-05-15,facebook,118158,,,,,,,
2026-05-16,facebook,118263,,,,,,,
2026-05-17,facebook,118368,,,,,,,
2026-05-18,facebook,118473,,,,,,,
2026-05-19,facebook,118578,,,,,,,
2026-05-20,facebook,118684,,,,,,,
2026-05-21,facebook,118789,,,,,,,
2026-05-22,facebook,118894,,,,,,,
2026-05-23,facebook,118999,,,,,,,
2026-05-24,facebook,119104,,,,,,,
2026-05-25,facebook,119209,,,,,,,
2026-05-26,facebook,119314,,,,,,,
