date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count,follower_growth
2026-04-01,instagram,88326,25332,,294,,,,,84
2026-04-02,instagram,88411,19891,,374,,,,,85
2026-04-03,instagram,88498,18658,,274,,,,,87
2026-04-04,instagram,88568,25417,,403,,,,,70
2026-04-05,instagram,88629,23416,,549,,,,,61
2026-04-06,instagram,88666,26213,,792,,,,,37
2026-04-07,instagram,88821,70368,,1515,,,,,155
2026-04-08,instagram,88915,45296,,986,,,,,94
2026-04-09,instagram,89006,43137,,881,,,,,91
2026-04-10,instagram,89130,47070,,1300,,,,,124
2026-04-11,instagram,89237,40755,,1018,,,,,107
2026-04-12,instagram,89295,11108,,234,,,,,58
2026-04-13,instagram,89345,6985,,136,,,,,50
2026-04-14,instagram,89381,8561,,139,,,,,36
2026-04-15,instagram,89391,6266,,116,,,,,10
2026-04-16,instagram,89414,7157,,114,,,,,23
2026-04-17,instagram,89440,6332,,124,,,,,26
2026-04-18,instagram,89487,6048,,130,,,,,47
2026-04-19,instagram,89537,4408,,100,,,,,50
2026-04-20,instagram,89593,10836,,103,,,,,56
2026-04-21,instagram,89648,16115,,200,,,,,55
2026-04-22,instagram,89709,12063,,129,,,,,61
2026-04-23,instagram,89771,9745,,239,,,,,62
2026-04-24,instagram,89823,13283,,343,,,,,52
2026-04-25,instagram,89897,4775,,114,,,,,74
2026-04-26,instagram,89961,8820,,158,,,,,64
2026-04-27,instagram,90042,3983,,90,,,,,81
2026-04-28,instagram,90097,6372,,204,,,,,55
2026-04-29,instagram,90134,11145,,361,,,,,37
2026-04-30,instagram,90190,16321,,310,,,,,56
