date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-05-01,instagram,90228,,,,,,,
2026-05-02,instagram,90267,,,,,,,
2026-05-03,instagram,90305,,,,,,,
2026-05-04,instagram,90343,,,,,,,
2026-05-05,instagram,90382,,,,,,,
2026-05-06,instagram,90420,,,,,,,
2026-05-07,instagram,90458,,,,,,,
2026-05-08,instagram,90496,,,,,,,
2026-05-09,instagram,90535,,,,,,,
2026-05-10,instagram,90573,,,,,,,
2026-05-11,instagram,90611,,,,,,,
2026-05-12,instagram,90650,,,,,,,
2026-05-13,instagram,90688,,,,,,,
2026-05-14,instagram,90726,,,,,,,
2026-05-15,instagram,90765,,,,,,,
2026-05-16,instagram,90803,,,,,,,
2026-05-17,instagram,90841,,,,,,,
2026-05-18,instagram,90880,,,,,,,
2026-05-19,instagram,90918,,,,,,,
2026-05-20,instagram,90956,,,,,,,
2026-05-21,instagram,90994,,,,,,,
2026-05-22,instagram,91033,,,,,,,
2026-05-23,instagram,91071,,,,,,,
2026-05-24,instagram,91109,,,,,,,
2026-05-25,instagram,91148,,,,,,,
2026-05-26,instagram,91186,,,,,,,
