Date,Followers,Video Views,Likes,Comments,Shares
2026-02-21,215000,322355,24558,1663,2435
2026-02-22,215513,179845,11844,957,864
2026-02-23,216089,407358,26731,972,3154
2026-02-24,216309,425982,27944,865,1906
2026-02-25,216788,334716,16586,1027,1781
2026-02-26,217215,369597,28286,1031,2658
2026-02-27,217792,395236,22120,792,1398
2026-02-28,218132,474928,22844,2322,1607
2026-03-01,218685,229528,15449,804,1283
2026-03-02,218913,258542,15856,920,1076
2026-03-03,219092,266399,17311,1458,1872
2026-03-04,219212,206344,13129,503,1211
2026-03-05,219638,411462,32647,2042,1661
2026-03-06,219920,443509,20283,2306,2858
2026-03-07,220273,317772,15382,1667,1591
2026-03-08,220511,231940,10599,982,883
2026-03-09,220760,425552,30246,924,1810
2026-03-10,221273,391500,23105,2183,1544
2026-03-11,221729,486269,36138,1787,2409
2026-03-12,221881,225173,11804,1096,1759
2026-03-13,222469,471167,29508,1124,1792
2026-03-14,222942,464202,33295,1438,2412
2026-03-15,222922,189743,14508,531,1432
2026-03-16,223468,438607,27350,1450,3283
2026-03-17,223780,325595,23861,1248,2421
2026-03-18,224039,251332,13893,1081,1156
2026-03-19,224401,276261,11596,674,1742
2026-03-20,224384,375232,27573,1601,1835
2026-03-21,224797,181898,12661,786,1035
2026-03-22,224991,336507,18866,1452,1932
2026-03-23,225395,256695,18007,1438,1468
2026-03-24,225776,280378,17652,1668,1884
2026-03-25,225974,369417,21935,1670,1763
2026-03-26,226488,257422,15191,1284,1319
2026-03-27,227000,296188,22335,705,1193
2026-03-28,227158,310640,17997,1687,2448
2026-03-29,227410,319245,13593,1332,1439
2026-03-30,227732,389048,25913,963,2775
2026-03-31,228235,204315,16223,647,1601
2026-04-01,228602,337168,16495,965,1054
2026-04-02,228563,361595,19062,1385,2311
2026-04-03,228897,353716,22516,1131,2356
2026-04-04,229094,306713,16362,1632,1574
2026-04-05,229397,344707,17826,1158,1365
2026-04-06,229973,219422,15179,475,1102
2026-04-07,229972,362783,26084,1368,1127
2026-04-08,230496,212179,12459,676,1029
2026-04-09,231046,384421,26213,935,1208
2026-04-10,231590,348099,24127,1143,2300
2026-04-11,231734,394655,19713,1597,2537
2026-04-12,232191,342028,22223,1761,1477
2026-04-13,232133,192373,9683,992,903
2026-04-14,232633,450403,26394,1955,2721
2026-04-15,232945,396517,26836,1267,2347
2026-04-16,233492,190548,13697,900,920
2026-04-17,233815,290039,21241,1320,1392
2026-04-18,234412,471407,19318,2486,3750
2026-04-19,234610,303992,18833,1642,1668
2026-04-20,234913,511023,33795,2292,2225
2026-04-21,235186,280574,12686,1599,1869
2026-04-22,235597,418859,24420,2146,2307
2026-04-23,236197,401310,30007,1576,3052
2026-04-24,236419,515491,40586,1469,1668
2026-04-25,236965,348162,23372,769,1796
2026-04-26,237560,375173,16803,1874,2475
2026-04-27,238012,292344,19881,1149,1962
2026-04-28,238592,205045,10416,999,1408
2026-04-29,238995,353251,21035,981,1743
2026-04-30,239487,248085,11778,666,1244
2026-05-01,239784,325055,15284,1674,2577
2026-05-02,240281,203452,13499,1085,1351
2026-05-03,240445,377658,21085,2139,1781
2026-05-04,240952,337676,23872,1031,1761
2026-05-05,241269,301458,13950,1527,1244
2026-05-06,241448,257933,15008,1292,1750
2026-05-07,241725,380070,15635,1053,2502
2026-05-08,241985,441549,30312,1128,1582
2026-05-09,242374,352717,21480,1576,2225
2026-05-10,242863,373109,26102,1317,1422
2026-05-11,243447,247117,10627,883,1216
2026-05-12,244033,331995,14769,748,1183
2026-05-13,244383,381421,29152,1256,2462
2026-05-14,244334,198920,10077,967,1303
2026-05-15,244835,283278,19692,806,1669
2026-05-16,245313,375747,27584,1465,1727
2026-05-17,245631,464074,22096,1399,2262
2026-05-18,245852,487977,28564,1449,1575
2026-05-19,246451,534082,35105,1678,3730
2026-05-20,246573,365055,19891,1464,1824
2026-05-21,247093,402545,25289,1848,2023
