date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count,follower_growth
2026-04-01,tiktok,75472,1378,,100,0,3,,,-15
2026-04-02,tiktok,75458,1103,,89,0,2,,,-14
2026-04-03,tiktok,75452,576,,48,1,3,,,-6
2026-04-04,tiktok,75430,979,,67,1,3,,,-22
2026-04-05,tiktok,75411,763,,32,0,2,,,-19
2026-04-06,tiktok,75402,844,,55,4,4,,,-9
2026-04-07,tiktok,76428,8099,,1171,2,8,,,1026
2026-04-08,tiktok,77449,10281,,1201,1,12,,,1021
2026-04-09,tiktok,77927,5055,,591,3,4,,,478
2026-04-10,tiktok,78706,8912,,966,0,20,,,779
2026-04-11,tiktok,79555,10913,,1042,5,16,,,849
2026-04-12,tiktok,80270,10006,,853,3,11,,,715
2026-04-13,tiktok,80897,11212,,734,1,10,,,627
2026-04-14,tiktok,81520,11782,,800,2,7,,,623
2026-04-15,tiktok,82088,11571,,749,2,8,,,568
2026-04-16,tiktok,82639,11045,,735,1,6,,,551
2026-04-17,tiktok,83174,11181,,744,0,9,,,535
2026-04-18,tiktok,83277,2125,,152,1,3,,,103
2026-04-19,tiktok,83257,526,,22,0,0,,,-20
2026-04-20,tiktok,83856,10371,,762,-2,16,,,599
2026-04-21,tiktok,84361,10670,,876,2,6,,,505
2026-04-22,tiktok,84338,994,,79,1,1,,,-23
2026-04-23,tiktok,84323,574,,26,0,2,,,-15
2026-04-24,tiktok,84310,673,,22,0,0,,,-13
2026-04-25,tiktok,84305,1677,,101,0,21,,,-5
2026-04-26,tiktok,84283,1018,,55,-1,0,,,-22
2026-04-27,tiktok,84271,779,,39,1,2,,,-12
2026-04-28,tiktok,84266,1895,,167,6,12,,,-5
2026-04-29,tiktok,84244,1593,,81,1,5,,,-22
2026-04-30,tiktok,84850,13740,,1095,0,2,,,606
