date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-05-01,tiktok,85887,20405,,1623,2,12,,
2026-05-02,tiktok,86121,7405,,540,3,3,,
2026-05-03,tiktok,86097,1328,,46,0,2,,
2026-05-04,tiktok,86078,735,,34,0,2,,
2026-05-05,tiktok,86056,715,,40,0,4,,
2026-05-06,tiktok,86040,747,,51,0,0,,
2026-05-07,tiktok,86808,15248,,1244,1,2,,
2026-05-08,tiktok,86783,844,,55,0,6,,
2026-05-09,tiktok,86770,590,,19,0,3,,
2026-05-10,tiktok,86756,723,,38,0,3,,
2026-05-11,tiktok,86737,435,,26,0,3,,
2026-05-12,tiktok,86724,641,,29,1,4,,
2026-05-13,tiktok,86700,473,,17,1,0,,
2026-05-14,tiktok,86692,683,,22,0,1,,
2026-05-15,tiktok,86677,814,,37,0,3,,
2026-05-16,tiktok,86665,928,,55,0,3,,
2026-05-17,tiktok,86657,1188,,59,1,5,,
2026-05-18,tiktok,86651,1167,,73,0,2,,
2026-05-19,tiktok,86643,1090,,55,0,2,,
2026-05-20,tiktok,86624,815,,36,1,1,,
2026-05-21,tiktok,86610,764,,40,0,1,,
2026-05-22,tiktok,86607,946,,59,0,7,,
2026-05-23,tiktok,86601,947,,65,0,2,,
2026-05-24,tiktok,86605,1018,,68,1,4,,
2026-05-25,tiktok,86602,,,,,,,
2026-05-26,tiktok,86599,,,,,,,
