date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-05-01,x,13072,673,,2,0,0,,
2026-05-02,x,13080,796,,9,2,0,,
2026-05-03,x,13084,525,,5,1,0,,
2026-05-04,x,13087,564,,3,1,0,,
2026-05-05,x,13088,382,,3,1,0,,
2026-05-06,x,13097,356,,1,0,0,,
2026-05-07,x,13101,380,,6,0,0,,
2026-05-08,x,13108,440,,6,0,0,,
2026-05-09,x,13112,474,,1,0,0,,
2026-05-10,x,13116,920,,0,2,0,,
2026-05-11,x,13121,292,,0,0,0,,
2026-05-12,x,13135,433,,0,0,0,,
2026-05-13,x,13145,509,,3,0,0,,
2026-05-14,x,13152,448,,4,1,0,,
2026-05-15,x,13158,433,,2,1,0,,
2026-05-16,x,13161,361,,1,0,0,,
2026-05-17,x,13162,193,,1,0,0,,
2026-05-18,x,13168,364,,3,0,0,,
2026-05-19,x,13171,298,,4,0,0,,
2026-05-20,x,13180,216,,1,1,1,,
2026-05-21,x,13183,252,,3,1,0,,
2026-05-22,x,13186,221,,0,0,0,,
2026-05-23,x,13187,181,,0,0,0,,
2026-05-24,x,13192,206,,0,1,0,,
2026-05-25,x,13196,229,,2,0,0,,
2026-05-26,x,13200,152,,2,1,0,,
