Date,Followers,Impressions,Likes,Replies,Retweets
2026-02-21,31200,25776,596,24,120
2026-02-22,31200,23937,246,62,147
2026-02-23,31227,22118,244,56,85
2026-02-24,31269,31226,750,39,91
2026-02-25,31315,31378,846,49,237
2026-02-26,31323,36913,1104,107,249
2026-02-27,31364,22979,575,49,86
2026-02-28,31399,22239,465,57,156
2026-03-01,31457,28592,288,66,177
2026-03-02,31477,30496,620,69,74
2026-03-03,31496,34531,531,50,275
2026-03-04,31503,25229,300,51,199
2026-03-05,31528,29627,314,63,60
2026-03-06,31569,19559,346,54,154
2026-03-07,31607,27465,461,64,177
2026-03-08,31615,31875,554,36,218
2026-03-09,31613,32558,745,50,67
2026-03-10,31640,29065,842,51,94
2026-03-11,31697,28457,849,81,118
2026-03-12,31716,24926,731,72,123
2026-03-13,31726,24678,599,27,110
2026-03-14,31755,28908,744,82,202
2026-03-15,31775,30202,523,65,172
2026-03-16,31784,30155,555,87,159
2026-03-17,31782,36963,1010,53,76
2026-03-18,31830,25084,480,25,147
2026-03-19,31874,16170,163,23,61
2026-03-20,31889,20999,340,33,119
2026-03-21,31947,19045,427,48,70
2026-03-22,31955,28792,771,57,200
2026-03-23,32002,20305,432,44,73
2026-03-24,32062,27690,514,70,177
2026-03-25,32121,30071,532,82,224
2026-03-26,32146,21643,271,49,131
2026-03-27,32204,22845,231,51,83
2026-03-28,32215,18634,348,21,99
2026-03-29,32221,17422,178,25,35
2026-03-30,32239,31897,624,31,132
2026-03-31,32293,36309,946,68,271
2026-04-01,32327,16521,165,48,97
2026-04-02,32383,30328,898,53,68
2026-04-03,32393,13749,198,17,30
2026-04-04,32420,38159,1016,107,141
2026-04-05,32449,24094,609,62,50
2026-04-06,32462,27650,735,80,121
2026-04-07,32495,38649,1041,48,228
2026-04-08,32507,39004,509,48,155
2026-04-09,32541,32128,877,68,120
2026-04-10,32541,29116,690,82,215
2026-04-11,32570,23824,612,23,77
2026-04-12,32622,29853,630,68,131
2026-04-13,32663,13909,244,27,36
2026-04-14,32693,28329,353,61,147
2026-04-15,32736,23753,492,69,148
2026-04-16,32781,27487,571,30,117
2026-04-17,32818,15065,287,24,36
2026-04-18,32852,36161,835,84,253
2026-04-19,32903,22329,369,56,88
2026-04-20,32959,36735,689,90,260
2026-04-21,32986,25562,366,33,126
2026-04-22,33023,30501,716,30,173
2026-04-23,33044,32824,437,57,188
2026-04-24,33075,31584,783,41,129
2026-04-25,33093,14302,216,24,98
2026-04-26,33133,25404,257,54,137
2026-04-27,33189,16373,184,31,49
2026-04-28,33206,14376,381,39,110
2026-04-29,33227,26982,335,75,198
2026-04-30,33227,14254,299,33,57
2026-05-01,33236,17527,505,42,80
2026-05-02,33283,26553,507,28,212
2026-05-03,33291,19161,306,41,150
2026-05-04,33312,17808,214,20,100
2026-05-05,33346,34135,783,47,272
2026-05-06,33377,30922,497,51,121
2026-05-07,33392,38810,868,112,109
2026-05-08,33451,13685,334,12,92
2026-05-09,33462,14849,323,37,90
2026-05-10,33517,37913,919,47,173
2026-05-11,33574,25037,460,61,92
2026-05-12,33613,23096,599,42,98
2026-05-13,33642,38097,659,76,219
2026-05-14,33671,32904,725,87,251
2026-05-15,33730,31118,929,50,77
2026-05-16,33786,22781,320,63,109
2026-05-17,33817,35837,366,83,171
2026-05-18,33836,38243,584,33,294
2026-05-19,33846,36387,703,77,102
2026-05-20,33858,32309,851,56,82
2026-05-21,33884,20631,420,46,78
