Date,Subscribers,Views,Likes,Comments
2026-02-21,48500,7602,275,16
2026-02-22,48558,6304,194,16
2026-02-23,48602,8900,372,20
2026-02-24,48665,16574,709,41
2026-02-25,48687,5144,123,11
2026-02-26,48742,11835,387,26
2026-02-27,48788,8535,256,16
2026-02-28,48834,13922,364,17
2026-03-01,48902,11507,461,17
2026-03-02,48950,6135,269,16
2026-03-03,49008,10783,347,15
2026-03-04,49037,9850,286,27
2026-03-05,49110,11323,410,33
2026-03-06,49141,13000,386,15
2026-03-07,49160,15200,497,34
2026-03-08,49224,11462,283,29
2026-03-09,49263,13885,603,14
2026-03-10,49334,11271,244,12
2026-03-11,49394,9837,325,29
2026-03-12,49463,6358,132,13
2026-03-13,49516,9926,429,20
2026-03-14,49585,15872,551,36
2026-03-15,49652,9901,248,16
2026-03-16,49717,8260,187,17
2026-03-17,49787,14973,564,15
2026-03-18,49828,14044,615,18
2026-03-19,49862,5621,154,15
2026-03-20,49942,14810,649,24
2026-03-21,50037,6489,207,19
2026-03-22,50073,10943,488,32
2026-03-23,50101,9257,408,26
2026-03-24,50135,10696,369,31
2026-03-25,50174,6861,233,8
2026-03-26,50201,17517,381,36
2026-03-27,50246,11528,267,33
2026-03-28,50293,16531,613,26
2026-03-29,50311,14009,457,41
2026-03-30,50305,5796,216,16
2026-03-31,50384,14718,407,27
2026-04-01,50402,16045,621,38
2026-04-02,50442,13335,285,23
2026-04-03,50439,12363,538,31
2026-04-04,50456,17278,507,49
2026-04-05,50526,15464,647,22
2026-04-06,50604,12766,385,22
2026-04-07,50647,15738,321,31
2026-04-08,50687,10808,384,13
2026-04-09,50706,11852,387,29
2026-04-10,50733,15448,366,44
2026-04-11,50769,7552,306,7
2026-04-12,50794,12996,467,19
2026-04-13,50850,7083,304,17
2026-04-14,50866,5357,109,9
2026-04-15,50883,14722,566,28
2026-04-16,50974,15634,534,33
2026-04-17,50992,16906,621,49
2026-04-18,51024,12296,407,29
2026-04-19,51044,9791,267,26
2026-04-20,51085,17742,675,52
2026-04-21,51148,9129,263,27
2026-04-22,51201,12948,283,16
2026-04-23,51244,7320,313,9
2026-04-24,51304,7589,248,14
2026-04-25,51386,12695,404,14
2026-04-26,51428,15901,482,43
2026-04-27,51427,5313,210,14
2026-04-28,51495,14123,520,31
2026-04-29,51543,7836,207,18
2026-04-30,51591,6586,139,13
2026-05-01,51616,6674,211,10
2026-05-02,51710,15184,452,23
2026-05-03,51728,5376,241,6
2026-05-04,51809,8848,301,22
2026-05-05,51869,14185,463,22
2026-05-06,51910,14436,375,37
2026-05-07,51982,12701,432,20
2026-05-08,52048,11463,365,14
2026-05-09,52132,6859,175,11
2026-05-10,52193,8344,347,22
2026-05-11,52235,9116,391,25
2026-05-12,52273,16721,398,18
2026-05-13,52306,8942,215,17
2026-05-14,52360,7887,159,11
2026-05-15,52386,7309,235,8
2026-05-16,52471,14870,500,35
2026-05-17,52516,5806,159,7
2026-05-18,52512,11927,328,15
2026-05-19,52527,15290,509,18
2026-05-20,52571,18150,441,32
2026-05-21,52665,13435,498,28
