date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-04-01,facebook,140.0,16751,,128,,,,
2026-04-02,facebook,541.0,26896,,212,,,,
2026-04-03,facebook,850.0,23494,,177,,,,
2026-04-04,facebook,1203.0,33887,,234,,,,
2026-04-05,facebook,1495.0,38691,,271,,,,
2026-04-06,facebook,1796.0,37067,,240,,,,
2026-04-07,facebook,1985.0,78082,,161,,,,
2026-04-08,facebook,2165.0,54578,,226,,,,
2026-04-09,facebook,2390.0,61074,,184,,,,
2026-04-10,facebook,2602.0,44530,,205,,,,
2026-04-11,facebook,2811.0,40626,,157,,,,
2026-04-12,facebook,3095.0,14484,,183,,,,
2026-04-13,facebook,3341.0,12454,,169,,,,
2026-04-14,facebook,3468.0,6887,,112,,,,
2026-04-15,facebook,3583.0,6466,,104,,,,
2026-04-16,facebook,3727.0,6643,,126,,,,
2026-04-17,facebook,3831.0,5823,,83,,,,
2026-04-18,facebook,3981.0,7289,,123,,,,
2026-04-19,facebook,4136.0,8641,,114,,,,
2026-04-20,facebook,4265.0,10713,,99,,,,
2026-04-21,facebook,4439.0,12026,,119,,,,
2026-04-22,facebook,4587.0,9465,,108,,,,
2026-04-23,facebook,4647.0,7569,,43,,,,
2026-04-24,facebook,4760.0,19358,,84,,,,
2026-04-25,facebook,4848.0,21960,,52,,,,
2026-04-26,facebook,4964.0,33827,,72,,,,
2026-04-27,facebook,5072.0,24240,,68,,,,
2026-04-28,facebook,5154.0,16476,,102,,,,
2026-04-29,facebook,5265.0,17364,,133,,,,
2026-04-30,facebook,5358.0,15630,,200,,,,
2026-04-01,instagram,128.0,25332,,294,,,,
2026-04-02,instagram,129.0,19891,,374,,,,
2026-04-03,instagram,131.0,18658,,274,,,,
2026-04-04,instagram,114.0,25417,,403,,,,
2026-04-05,instagram,105.0,23416,,549,,,,
2026-04-06,instagram,81.0,26213,,792,,,,
2026-04-07,instagram,199.0,70368,,1515,,,,
2026-04-08,instagram,138.0,45296,,986,,,,
2026-04-09,instagram,135.0,43137,,881,,,,
2026-04-10,instagram,168.0,47070,,1300,,,,
2026-04-11,instagram,151.0,40755,,1018,,,,
2026-04-12,instagram,102.0,11108,,234,,,,
2026-04-13,instagram,94.0,6985,,136,,,,
2026-04-14,instagram,80.0,8561,,139,,,,
2026-04-15,instagram,54.0,6266,,116,,,,
2026-04-16,instagram,67.0,7157,,114,,,,
2026-04-17,instagram,70.0,6332,,124,,,,
2026-04-18,instagram,91.0,6048,,130,,,,
2026-04-19,instagram,94.0,4408,,100,,,,
2026-04-20,instagram,100.0,10836,,103,,,,
2026-04-21,instagram,99.0,16115,,200,,,,
2026-04-22,instagram,105.0,12063,,129,,,,
2026-04-23,instagram,106.0,9745,,239,,,,
2026-04-24,instagram,96.0,13283,,343,,,,
2026-04-25,instagram,118.0,4775,,114,,,,
2026-04-26,instagram,108.0,8820,,158,,,,
2026-04-27,instagram,125.0,3983,,90,,,,
2026-04-28,instagram,99.0,6372,,204,,,,
2026-04-29,instagram,81.0,11145,,361,,,,
2026-04-30,instagram,100.0,16321,,310,,,,
2026-04-01,linkedin,52.0,6801,2769.0,105,4.0,0.0,,
2026-04-02,linkedin,65.0,6594,2756.0,94,2.0,1.0,,
2026-04-03,linkedin,51.0,9011,3225.0,120,2.0,1.0,,
2026-04-04,linkedin,35.0,6783,2538.0,99,6.0,1.0,,
2026-04-05,linkedin,29.0,9777,3143.0,163,4.0,1.0,,
2026-04-06,linkedin,52.0,25712,12602.0,646,8.0,17.0,,
2026-04-07,linkedin,77.0,14710,6801.0,361,4.0,3.0,,
2026-04-08,linkedin,57.0,10310,4220.0,205,5.0,6.0,,
2026-04-09,linkedin,45.0,9352,3592.0,219,2.0,2.0,,
2026-04-10,linkedin,88.0,9420,3681.0,186,5.0,1.0,,
2026-04-11,linkedin,53.0,11637,5360.0,238,2.0,0.0,,
2026-04-12,linkedin,33.0,6994,3075.0,129,4.0,1.0,,
2026-04-13,linkedin,70.0,8384,3416.0,182,0.0,1.0,,
2026-04-14,linkedin,53.0,6809,2684.0,132,2.0,0.0,,
2026-04-15,linkedin,44.0,5385,2290.0,95,3.0,0.0,,
2026-04-16,linkedin,74.0,3448,1498.0,149,1.0,0.0,,
2026-04-17,linkedin,55.0,6531,2585.0,86,3.0,1.0,,
2026-04-18,linkedin,20.0,5767,2490.0,113,2.0,1.0,,
2026-04-19,linkedin,57.0,5797,2571.0,84,5.0,0.0,,
2026-04-20,linkedin,48.0,6866,2868.0,110,2.0,1.0,,
2026-04-21,linkedin,52.0,5530,2288.0,93,0.0,2.0,,
2026-04-22,linkedin,69.0,4738,1878.0,80,0.0,3.0,,
2026-04-23,linkedin,75.0,3926,1628.0,66,2.0,0.0,,
2026-04-24,linkedin,46.0,3638,1584.0,76,1.0,-1.0,,
2026-04-25,linkedin,39.0,2704,1011.0,44,0.0,0.0,,
2026-04-26,linkedin,58.0,3710,1398.0,53,2.0,0.0,,
2026-04-27,linkedin,107.0,3819,1491.0,75,2.0,1.0,,
2026-04-28,linkedin,98.0,4906,2217.0,77,13.0,0.0,,
2026-04-29,linkedin,58.0,11522,5216.0,157,13.0,0.0,,
2026-04-30,linkedin,70.0,7629,3457.0,103,2.0,0.0,,
2026-04-01,tiktok,75472.0,1378,,100,0.0,3.0,,
2026-04-02,tiktok,75458.0,1103,,89,0.0,2.0,,
2026-04-03,tiktok,75452.0,576,,48,1.0,3.0,,
2026-04-04,tiktok,75430.0,979,,67,1.0,3.0,,
2026-04-05,tiktok,75411.0,763,,32,0.0,2.0,,
2026-04-06,tiktok,75402.0,844,,55,4.0,4.0,,
2026-04-07,tiktok,76428.0,8099,,1171,2.0,8.0,,
2026-04-08,tiktok,77449.0,10281,,1201,1.0,12.0,,
2026-04-09,tiktok,77927.0,5055,,591,3.0,4.0,,
2026-04-10,tiktok,78706.0,8912,,966,0.0,20.0,,
2026-04-11,tiktok,79555.0,10913,,1042,5.0,16.0,,
2026-04-12,tiktok,80270.0,10006,,853,3.0,11.0,,
2026-04-13,tiktok,80897.0,11212,,734,1.0,10.0,,
2026-04-14,tiktok,81520.0,11782,,800,2.0,7.0,,
2026-04-15,tiktok,82088.0,11571,,749,2.0,8.0,,
2026-04-16,tiktok,82639.0,11045,,735,1.0,6.0,,
2026-04-17,tiktok,83174.0,11181,,744,0.0,9.0,,
2026-04-18,tiktok,83277.0,2125,,152,1.0,3.0,,
2026-04-19,tiktok,83257.0,526,,22,0.0,0.0,,
2026-04-20,tiktok,83856.0,10371,,762,-2.0,16.0,,
2026-04-21,tiktok,84361.0,10670,,876,2.0,6.0,,
2026-04-22,tiktok,84338.0,994,,79,1.0,1.0,,
2026-04-23,tiktok,84323.0,574,,26,0.0,2.0,,
2026-04-24,tiktok,84310.0,673,,22,0.0,0.0,,
2026-04-25,tiktok,84305.0,1677,,101,0.0,21.0,,
2026-04-26,tiktok,84283.0,1018,,55,-1.0,0.0,,
2026-04-27,tiktok,84271.0,779,,39,1.0,2.0,,
2026-04-28,tiktok,84266.0,1895,,167,6.0,12.0,,
2026-04-29,tiktok,84244.0,1593,,81,1.0,5.0,,
2026-04-30,tiktok,84850.0,13740,,1095,0.0,2.0,,
2026-04-01,x,,511,,4,0.0,1.0,,
2026-04-02,x,,512,,3,0.0,2.0,,
2026-04-03,x,,585,,4,0.0,0.0,,
2026-04-04,x,,515,,8,3.0,0.0,,
2026-04-05,x,,680,,6,0.0,2.0,,
2026-04-06,x,,1013,,65,2.0,56.0,,
2026-04-07,x,,607,,7,1.0,0.0,,
2026-04-08,x,,358,,4,0.0,0.0,,
2026-04-09,x,,1461,,3,1.0,2.0,,
2026-04-10,x,,456,,2,0.0,0.0,,
2026-04-11,x,,464,,7,0.0,1.0,,
2026-04-12,x,,304,,1,0.0,1.0,,
2026-04-13,x,,615,,10,2.0,2.0,,
2026-04-14,x,,271,,1,0.0,0.0,,
2026-04-15,x,,449,,5,2.0,0.0,,
2026-04-16,x,,435,,4,1.0,0.0,,
2026-04-17,x,,329,,3,0.0,1.0,,
2026-04-18,x,,522,,2,0.0,0.0,,
2026-04-19,x,,171,,1,0.0,0.0,,
2026-04-20,x,,235,,3,0.0,0.0,,
2026-04-21,x,,471,,4,1.0,0.0,,
2026-04-22,x,,310,,0,0.0,0.0,,
2026-04-23,x,,337,,2,0.0,0.0,,
2026-04-24,x,,240,,0,0.0,0.0,,
2026-04-25,x,,239,,0,0.0,0.0,,
2026-04-26,x,,276,,4,1.0,0.0,,
2026-04-27,x,,205,,3,0.0,0.0,,
2026-04-28,x,,235,,1,0.0,0.0,,
2026-04-29,x,,383,,6,1.0,0.0,,
2026-04-30,x,,333,,7,1.0,0.0,,
