date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count,follower_growth
2026-04-01,facebook,111712,16751,,128,,,,,128
2026-04-02,facebook,112101,26896,,212,,,,,389
2026-04-03,facebook,112398,23494,,177,,,,,297
2026-04-04,facebook,112739,33887,,234,,,,,341
2026-04-05,facebook,113019,38691,,271,,,,,280
2026-04-06,facebook,113308,37067,,240,,,,,289
2026-04-07,facebook,113485,78082,,161,,,,,177
2026-04-08,facebook,113653,54578,,226,,,,,168
2026-04-09,facebook,113866,61074,,184,,,,,213
2026-04-10,facebook,114066,44530,,205,,,,,200
2026-04-11,facebook,114263,40626,,157,,,,,197
2026-04-12,facebook,114535,14484,,183,,,,,272
2026-04-13,facebook,114769,12454,,169,,,,,234
2026-04-14,facebook,114884,6887,,112,,,,,115
2026-04-15,facebook,114987,6466,,104,,,,,103
2026-04-16,facebook,115119,6643,,126,,,,,132
2026-04-17,facebook,115211,5823,,83,,,,,92
2026-04-18,facebook,115349,7289,,123,,,,,138
2026-04-19,facebook,115492,8641,,114,,,,,143
2026-04-20,facebook,115609,10713,,99,,,,,117
2026-04-21,facebook,115771,12026,,119,,,,,162
2026-04-22,facebook,115907,9465,,108,,,,,136
2026-04-23,facebook,115955,7569,,43,,,,,48
2026-04-24,facebook,116056,19358,,84,,,,,101
2026-04-25,facebook,116132,21960,,52,,,,,76
2026-04-26,facebook,116236,33827,,72,,,,,104
2026-04-27,facebook,116332,24240,,68,,,,,96
2026-04-28,facebook,116402,16476,,102,,,,,70
2026-04-29,facebook,116501,17364,,133,,,,,99
2026-04-30,facebook,116582,15630,,200,,,,,81
2026-05-01,facebook,116687,,,,,,,,
2026-05-02,facebook,116792,,,,,,,,
2026-05-03,facebook,116897,,,,,,,,
2026-05-04,facebook,117002,,,,,,,,
2026-05-05,facebook,117107,,,,,,,,
2026-05-06,facebook,117212,,,,,,,,
2026-05-07,facebook,117318,,,,,,,,
2026-05-08,facebook,117423,,,,,,,,
2026-05-09,facebook,117528,,,,,,,,
2026-05-10,facebook,117633,,,,,,,,
2026-05-11,facebook,117738,,,,,,,,
2026-05-12,facebook,117843,,,,,,,,
2026-05-13,facebook,117948,,,,,,,,
2026-05-14,facebook,118053,,,,,,,,
2026-05-15,facebook,118158,,,,,,,,
2026-05-16,facebook,118263,,,,,,,,
2026-05-17,facebook,118368,,,,,,,,
2026-05-18,facebook,118473,,,,,,,,
2026-05-19,facebook,118578,,,,,,,,
2026-05-20,facebook,118684,,,,,,,,
2026-05-21,facebook,118789,,,,,,,,
2026-05-22,facebook,118894,,,,,,,,
2026-05-23,facebook,118999,,,,,,,,
2026-05-24,facebook,119104,,,,,,,,
2026-05-25,facebook,119209,,,,,,,,
2026-05-26,facebook,119314,,,,,,,,
2026-04-01,instagram,88326,25332,,294,,,,,84
2026-04-02,instagram,88411,19891,,374,,,,,85
2026-04-03,instagram,88498,18658,,274,,,,,87
2026-04-04,instagram,88568,25417,,403,,,,,70
2026-04-05,instagram,88629,23416,,549,,,,,61
2026-04-06,instagram,88666,26213,,792,,,,,37
2026-04-07,instagram,88821,70368,,1515,,,,,155
2026-04-08,instagram,88915,45296,,986,,,,,94
2026-04-09,instagram,89006,43137,,881,,,,,91
2026-04-10,instagram,89130,47070,,1300,,,,,124
2026-04-11,instagram,89237,40755,,1018,,,,,107
2026-04-12,instagram,89295,11108,,234,,,,,58
2026-04-13,instagram,89345,6985,,136,,,,,50
2026-04-14,instagram,89381,8561,,139,,,,,36
2026-04-15,instagram,89391,6266,,116,,,,,10
2026-04-16,instagram,89414,7157,,114,,,,,23
2026-04-17,instagram,89440,6332,,124,,,,,26
2026-04-18,instagram,89487,6048,,130,,,,,47
2026-04-19,instagram,89537,4408,,100,,,,,50
2026-04-20,instagram,89593,10836,,103,,,,,56
2026-04-21,instagram,89648,16115,,200,,,,,55
