date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-03-02,facebook,128000,23093,15697,534,51,95,,2
2026-03-03,facebook,128073,35032,21684,849,34,127,,2
2026-03-04,facebook,128101,47041,33590,484,111,121,,3
2026-03-05,facebook,128182,38382,25121,732,44,122,,3
2026-03-06,facebook,128194,48734,25308,773,47,67,,3
2026-03-07,facebook,128235,50884,26855,667,123,176,,2
2026-03-08,facebook,128295,41484,25405,751,67,69,,3
2026-03-09,facebook,128327,27706,19201,332,39,30,,0
2026-03-10,facebook,128338,28051,20807,313,83,139,,0
2026-03-11,facebook,128431,45693,27220,571,115,61,,3
2026-03-12,facebook,128501,30218,17987,644,81,140,,3
2026-03-13,facebook,128500,28595,18240,467,72,32,,1
2026-03-14,facebook,128510,30922,16314,543,37,57,,2
2026-03-15,facebook,128605,22521,16252,371,28,41,,1
2026-03-16,facebook,128672,32245,20232,461,26,67,,0
2026-03-17,facebook,128734,26011,19339,256,75,109,,0
2026-03-18,facebook,128776,20663,12190,306,32,68,,2
2026-03-19,facebook,128835,38824,22023,384,56,65,,2
2026-03-20,facebook,128891,50665,26827,690,72,64,,0
2026-03-21,facebook,128940,42970,22573,483,87,119,,2
2026-03-22,facebook,128969,32578,18586,510,93,53,,0
2026-03-23,facebook,129005,42007,22328,774,58,150,,3
2026-03-24,facebook,129099,23163,15418,256,41,43,,1
2026-03-25,facebook,129186,39345,22607,787,102,121,,0
2026-03-26,facebook,129203,47476,31697,488,117,63,,2
2026-03-27,facebook,129249,33007,22388,455,49,44,,2
2026-03-28,facebook,129321,35746,21673,748,77,64,,1
2026-03-29,facebook,129346,29160,21283,330,80,48,,0
2026-03-30,facebook,129367,33518,17482,556,49,140,,2
2026-03-31,facebook,129421,34663,21158,346,55,60,,0
2026-04-01,facebook,129462,34195,20041,461,77,61,,0
2026-04-02,facebook,129473,46675,24654,537,88,106,,2
2026-04-03,facebook,129537,50955,38137,1053,79,251,,2
2026-04-04,facebook,129606,47185,29628,924,54,175,,3
2026-04-05,facebook,129639,20390,13352,357,50,69,,1
2026-04-06,facebook,129677,29086,20426,563,79,41,,2
2026-04-07,facebook,129743,39385,26326,403,38,71,,0
2026-04-08,facebook,129824,25290,12646,268,44,115,,1
2026-04-09,facebook,129886,31245,17263,268,85,131,,3
2026-04-10,facebook,129917,44491,33252,1019,129,145,,0
2026-04-11,facebook,129987,41075,25214,391,123,89,,1
2026-04-12,facebook,130032,36240,26762,362,33,153,,0
2026-04-13,facebook,130089,26167,15080,435,24,67,,3
2026-04-14,facebook,130105,44023,26646,913,94,82,,2
2026-04-15,facebook,130143,42538,21479,475,104,151,,2
2026-04-16,facebook,130196,36220,23206,405,83,88,,3
2026-04-17,facebook,130213,37982,20488,633,105,47,,0
2026-04-18,facebook,130289,34547,19976,552,67,120,,0
2026-04-19,facebook,130355,26728,14353,473,67,98,,3
2026-04-20,facebook,130450,33260,18642,566,42,124,,3
2026-04-21,facebook,130477,29923,17648,325,44,118,,0
2026-04-22,facebook,130509,36005,26057,542,103,54,,2
2026-04-23,facebook,130520,24078,13347,377,42,105,,3
2026-04-24,facebook,130550,25848,16009,218,63,109,,2
2026-04-25,facebook,130644,24584,14720,337,31,105,,0
2026-04-26,facebook,130675,48631,27996,412,137,220,,2
2026-04-27,facebook,130751,40975,26301,597,106,60,,3
2026-04-28,facebook,130789,23543,16920,292,47,52,,2
2026-04-29,facebook,130845,20912,13998,342,29,87,,3
2026-04-30,facebook,130904,26363,17931,628,68,115,,3
2026-05-01,facebook,130998,21698,12370,178,23,94,,1
2026-05-02,facebook,131041,47923,27213,727,110,234,,1
2026-05-03,facebook,131108,48560,31633,1057,97,222,,1
2026-05-04,facebook,131105,45354,26559,747,133,45,,2
2026-05-05,facebook,131177,23250,15745,446,41,26,,3
2026-05-06,facebook,131210,49122,35352,714,131,208,,3
2026-05-07,facebook,131228,35754,19873,601,63,105,,2
2026-05-08,facebook,131310,25270,17334,369,56,119,,3
2026-05-09,facebook,131397,27749,17506,440,46,47,,3
2026-05-10,facebook,131443,32519,19868,783,39,48,,0
2026-05-11,facebook,131512,50113,34004,816,118,72,,3
2026-05-12,facebook,131588,26789,18342,582,38,63,,3
2026-05-13,facebook,131678,43939,24494,830,86,131,,3
2026-05-14,facebook,131768,27058,18127,552,76,115,,2
2026-05-15,facebook,131810,31561,17526,615,82,114,,1
2026-05-16,facebook,131895,36756,24515,533,94,161,,1
2026-05-17,facebook,131892,41025,28150,792,69,131,,1
2026-05-18,facebook,131959,33579,23288,759,73,62,,1
2026-05-19,facebook,131969,49881,25844,664,122,204,,2
2026-05-20,facebook,131988,25200,14104,578,39,42,,1
2026-05-21,facebook,132015,44064,23354,953,103,62,,1
2026-05-22,facebook,132078,24508,16583,566,21,28,,3
2026-05-23,facebook,132140,50397,28027,902,128,209,,3
2026-05-24,facebook,132139,49199,34178,953,68,61,,2
2026-05-25,facebook,132227,46244,33927,875,38,60,,1
2026-05-26,facebook,132275,28480,14703,327,63,42,,3
2026-05-27,facebook,132273,25385,17358,468,32,52,,1
2026-05-28,facebook,132352,23618,16439,285,53,61,,0
2026-05-29,facebook,132399,34340,17548,419,81,113,,0
2026-05-30,facebook,132490,49229,27520,873,89,152,,1
2026-03-02,instagram,82000,40242,26040,1361,141,386,258,1
2026-03-03,instagram,82168,26123,20099,1348,80,191,216,3
2026-03-04,instagram,82156,27317,15031,1399,57,128,312,0
2026-03-05,instagram,82192,33527,23887,1114,155,218,221,1
2026-03-06,instagram,82347,36089,24074,1334,87,182,405,3
2026-03-07,instagram,82415,28244,17814,1682,73,241,204,3
2026-03-08,instagram,82527,44645,27976,2046,176,186,226,1
2026-03-09,instagram,82590,33336,24294,1858,119,275,185,2
2026-03-10,instagram,82759,29812,16990,1709,132,156,310,2
2026-03-11,instagram,82837,38238,21175,1965,166,248,425,3
2026-03-12,instagram,82925,32189,18790,1155,109,285,265,2
2026-03-13,instagram,83062,44015,29423,2346,99,372,419,3
2026-03-14,instagram,83111,44014,29957,1661,194,203,426,1
2026-03-15,instagram,83226,43738,26367,2112,139,423,501,0
2026-03-16,instagram,83297,27194,15668,1328,91,247,142,2
2026-03-17,instagram,83363,22682,14022,1278,77,210,162,1
2026-03-18,instagram,83538,44375,27798,2654,152,269,479,0
2026-03-19,instagram,83624,39506,22842,1660,181,344,230,1
2026-03-20,instagram,83619,29978,19274,1275,96,170,310,2
2026-03-21,instagram,83704,37064,25583,1523,80,270,387,1
2026-03-22,instagram,83859,22467,12837,848,86,190,195,1
2026-03-23,instagram,83956,36085,23032,1137,121,244,252,1
2026-03-24,instagram,84017,31920,20880,1163,97,161,218,1
2026-03-25,instagram,84197,32003,23012,1743,109,259,332,3
2026-03-26,instagram,84339,26105,17903,1386,53,258,135,1
2026-03-27,instagram,84486,38371,23425,1984,143,214,254,2
2026-03-28,instagram,84626,46376,28032,1406,155,214,345,2
2026-03-29,instagram,84730,34333,22601,1757,108,212,210,2
2026-03-30,instagram,84770,24994,14791,1065,50,208,188,3
2026-03-31,instagram,84941,40485,32008,1387,139,369,334,2
2026-04-01,instagram,85004,27750,21924,1308,71,272,261,1
2026-04-02,instagram,85149,34638,22513,1838,99,181,369,0
2026-04-03,instagram,85179,45833,28806,2027,139,302,310,3
