date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count,follower_growth
2026-04-01,facebook,140,16751,,128,,,,,140
2026-04-02,facebook,541,26896,,212,,,,,401
2026-04-03,facebook,850,23494,,177,,,,,309
2026-04-04,facebook,1203,33887,,234,,,,,353
2026-04-05,facebook,1495,38691,,271,,,,,292
2026-04-06,facebook,1796,37067,,240,,,,,301
2026-04-07,facebook,1985,78082,,161,,,,,189
2026-04-08,facebook,2165,54578,,226,,,,,180
2026-04-09,facebook,2390,61074,,184,,,,,225
2026-04-10,facebook,2602,44530,,205,,,,,212
2026-04-11,facebook,2811,40626,,157,,,,,209
2026-04-12,facebook,3095,14484,,183,,,,,284
2026-04-13,facebook,3341,12454,,169,,,,,246
2026-04-14,facebook,3468,6887,,112,,,,,127
2026-04-15,facebook,3583,6466,,104,,,,,115
2026-04-16,facebook,3727,6643,,126,,,,,144
2026-04-17,facebook,3831,5823,,83,,,,,104
2026-04-18,facebook,3981,7289,,123,,,,,150
2026-04-19,facebook,4136,8641,,114,,,,,155
2026-04-20,facebook,4265,10713,,99,,,,,129
2026-04-21,facebook,4439,12026,,119,,,,,174
2026-04-22,facebook,4587,9465,,108,,,,,148
2026-04-23,facebook,4647,7569,,43,,,,,60
2026-04-24,facebook,4760,19358,,84,,,,,113
2026-04-25,facebook,4848,21960,,52,,,,,88
2026-04-26,facebook,4964,33827,,72,,,,,116
2026-04-27,facebook,5072,24240,,68,,,,,108
2026-04-28,facebook,5154,16476,,102,,,,,82
2026-04-29,facebook,5265,17364,,133,,,,,111
2026-04-30,facebook,5358,15630,,200,,,,,93
