Date,Followers,Impressions,Reach,Likes,Comments,Shares,Saves
2026-02-21,82000,22535,16462,719,45,207,199
2026-02-22,82053,40661,28197,1608,94,391,309
2026-02-23,82208,38583,25424,1174,155,203,432
2026-02-24,82262,36513,25239,1909,146,185,197
2026-02-25,82383,37358,23562,1230,180,305,245
2026-02-26,82482,24750,18041,1323,85,105,270
2026-02-27,82521,34277,21084,1234,122,289,293
2026-02-28,82641,22951,15256,1053,74,223,205
2026-03-01,82812,33284,21220,1580,87,208,385
2026-03-02,82888,44423,31921,2249,97,432,506
2026-03-03,83066,45138,26727,2501,161,197,417
2026-03-04,83179,38617,22099,1401,142,205,315
2026-03-05,83328,29824,23000,975,115,227,323
2026-03-06,83389,44277,31745,1334,193,288,445
2026-03-07,83497,41893,29529,1298,196,218,296
2026-03-08,83625,36523,27940,1576,109,295,338
2026-03-09,83614,43271,30593,2279,126,334,372
2026-03-10,83719,21279,14087,1185,77,188,248
2026-03-11,83792,41348,23334,2261,138,200,408
2026-03-12,83880,21967,13200,1110,92,137,112
2026-03-13,84004,37202,21562,2083,91,342,280
2026-03-14,84164,37606,29176,1401,116,342,303
2026-03-15,84305,34579,26863,1993,168,239,341
2026-03-16,84455,29674,20831,1101,140,236,351
2026-03-17,84610,31651,24889,1426,138,283,167
2026-03-18,84687,42822,30647,2322,148,407,404
2026-03-19,84779,27362,16854,1448,106,194,303
2026-03-20,84835,27255,20298,973,104,227,183
2026-03-21,84989,43205,27921,1775,182,254,510
2026-03-22,85060,45478,31774,1890,218,391,269
2026-03-23,85162,39876,30530,1703,181,168,471
2026-03-24,85231,31058,22986,1475,110,270,164
2026-03-25,85293,30217,22551,1237,69,176,318
2026-03-26,85339,24100,13901,1126,79,127,192
2026-03-27,85509,32199,20266,1190,137,138,202
2026-03-28,85678,45439,34235,1505,110,419,443
2026-03-29,85672,33655,19923,1503,111,248,210
2026-03-30,85777,44627,28863,2495,207,338,404
2026-03-31,85907,44035,32547,1530,170,387,241
2026-04-01,86077,37534,22881,1399,97,371,430
2026-04-02,86207,28328,19701,969,78,237,152
2026-04-03,86347,25476,14828,801,104,128,212
2026-04-04,86414,46183,31418,2655,178,402,317
2026-04-05,86573,23080,17512,1342,46,213,226
2026-04-06,86646,28013,16616,1166,67,217,331
2026-04-07,86633,21856,14122,687,57,183,167
2026-04-08,86764,37820,25364,1771,164,241,395
2026-04-09,86860,23275,13709,1010,82,182,142
2026-04-10,86986,42509,24570,2336,98,222,463
2026-04-11,87154,40411,25749,1805,166,310,287
2026-04-12,87264,27141,19057,1331,124,251,209
2026-04-13,87336,45230,31913,1625,127,218,452
2026-04-14,87375,46690,29422,1409,163,253,416
2026-04-15,87489,40164,22607,1231,160,195,354
2026-04-16,87592,38075,22483,2244,111,347,256
2026-04-17,87687,45252,29497,2399,96,187,352
2026-04-18,87854,24563,13805,1395,96,163,252
2026-04-19,87894,29930,17042,1720,130,130,305
2026-04-20,88065,45700,34589,1783,200,224,534
2026-04-21,88053,42791,25651,1555,164,350,437
2026-04-22,88222,48006,28696,2738,100,380,249
2026-04-23,88378,29894,17331,1496,69,263,336
2026-04-24,88546,48228,32223,2009,168,315,499
2026-04-25,88582,48087,34175,1516,230,338,493
2026-04-26,88675,32788,25160,1031,133,278,240
2026-04-27,88843,42523,25719,1377,168,276,457
2026-04-28,88940,41544,23502,1317,105,390,209
2026-04-29,89033,48925,34496,2356,225,434,417
2026-04-30,89069,41385,28171,2233,189,386,453
2026-05-01,89236,24219,15362,1210,66,182,248
2026-05-02,89354,47199,34917,2411,175,412,554
2026-05-03,89493,30621,18617,938,88,219,197
2026-05-04,89640,45716,33938,2341,217,328,424
2026-05-05,89698,23430,14254,1210,112,181,275
2026-05-06,89746,45571,29974,2441,207,345,486
2026-05-07,89795,26545,18906,1155,91,124,172
2026-05-08,89940,27682,18732,1349,87,163,249
2026-05-09,90097,46290,32819,2244,174,312,269
2026-05-10,90152,37688,27713,2076,123,343,209
2026-05-11,90195,36015,26635,1114,124,191,192
2026-05-12,90304,26979,19279,1043,95,123,296
2026-05-13,90446,46126,27644,2044,99,430,301
2026-05-14,90509,36065,27458,2074,82,211,426
2026-05-15,90611,25831,18548,1344,70,191,178
2026-05-16,90687,37627,24372,1847,145,293,209
2026-05-17,90751,47224,31745,1998,145,213,456
2026-05-18,90744,37985,21483,2098,132,319,274
2026-05-19,90798,36760,27525,1955,172,283,227
2026-05-20,90792,30808,19310,1484,101,281,297
2026-05-21,90942,31906,17606,1310,155,266,365
