date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count,follower_growth
2026-04-01,instagram,88370,25332,,294,,,,,128
2026-04-02,instagram,88499,19891,,374,,,,,129
2026-04-03,instagram,88630,18658,,274,,,,,131
2026-04-04,instagram,88744,25417,,403,,,,,114
2026-04-05,instagram,88849,23416,,549,,,,,105
2026-04-06,instagram,88930,26213,,792,,,,,81
2026-04-07,instagram,89129,70368,,1515,,,,,199
2026-04-08,instagram,89267,45296,,986,,,,,138
2026-04-09,instagram,89402,43137,,881,,,,,135
2026-04-10,instagram,89570,47070,,1300,,,,,168
2026-04-11,instagram,89721,40755,,1018,,,,,151
2026-04-12,instagram,89823,11108,,234,,,,,102
2026-04-13,instagram,89917,6985,,136,,,,,94
2026-04-14,instagram,89997,8561,,139,,,,,80
2026-04-15,instagram,90051,6266,,116,,,,,54
2026-04-16,instagram,90118,7157,,114,,,,,67
2026-04-17,instagram,90188,6332,,124,,,,,70
2026-04-18,instagram,90279,6048,,130,,,,,91
2026-04-19,instagram,90373,4408,,100,,,,,94
2026-04-20,instagram,90473,10836,,103,,,,,100
2026-04-21,instagram,90572,16115,,200,,,,,99
2026-04-22,instagram,90677,12063,,129,,,,,105
2026-04-23,instagram,90783,9745,,239,,,,,106
2026-04-24,instagram,90879,13283,,343,,,,,96
2026-04-25,instagram,90997,4775,,114,,,,,118
2026-04-26,instagram,91105,8820,,158,,,,,108
2026-04-27,instagram,91230,3983,,90,,,,,125
2026-04-28,instagram,91329,6372,,204,,,,,99
2026-04-29,instagram,91410,11145,,361,,,,,81
2026-04-30,instagram,91510,16321,,310,,,,,100
