Date,Total followers,Impressions,Reactions,Comments,Shares
2026-02-21,22400,4892,135,16,28
2026-02-22,22427,9221,194,32,42
2026-02-23,22432,9673,429,15,66
2026-02-24,22437,5844,247,11,22
2026-02-25,22478,5802,202,15,30
2026-02-26,22520,11594,551,27,50
2026-02-27,22533,12135,502,35,27
2026-02-28,22550,6876,270,9,44
2026-03-01,22586,10274,377,33,51
2026-03-02,22591,9241,300,30,20
2026-03-03,22604,6127,285,12,26
2026-03-04,22602,10223,208,11,43
2026-03-05,22635,5019,129,10,22
2026-03-06,22675,10089,237,27,28
2026-03-07,22714,8626,318,23,47
2026-03-08,22759,6667,192,11,27
2026-03-09,22802,12180,596,29,33
2026-03-10,22846,6397,289,7,40
2026-03-11,22853,11068,329,16,55
2026-03-12,22890,7639,352,10,40
2026-03-13,22926,7660,202,26,27
2026-03-14,22970,12620,263,30,28
2026-03-15,23009,6802,244,7,29
2026-03-16,23018,11565,242,16,58
2026-03-17,23063,8189,228,21,53
2026-03-18,23102,11874,368,16,30
2026-03-19,23109,7810,275,12,33
2026-03-20,23136,7643,167,25,35
2026-03-21,23153,5334,214,5,31
2026-03-22,23177,8217,263,24,24
2026-03-23,23187,6930,215,16,42
2026-03-24,23208,9300,333,15,20
2026-03-25,23245,12217,280,36,77
2026-03-26,23244,8612,391,23,22
2026-03-27,23266,8800,365,9,45
2026-03-28,23294,10540,319,24,25
2026-03-29,23325,5343,207,16,12
2026-03-30,23347,9339,395,19,47
2026-03-31,23347,8746,280,28,55
2026-04-01,23360,5447,190,14,14
2026-04-02,23384,9667,359,29,39
2026-04-03,23409,5545,146,18,16
2026-04-04,23431,7226,349,17,21
2026-04-05,23471,6388,181,19,17
2026-04-06,23510,11532,287,32,76
2026-04-07,23542,8574,235,25,37
2026-04-08,23587,8225,199,9,31
2026-04-09,23615,8706,249,26,24
2026-04-10,23647,11926,341,30,31
2026-04-11,23676,11023,287,35,46
2026-04-12,23709,6667,242,13,17
2026-04-13,23744,8031,348,27,30
2026-04-14,23785,13045,423,29,35
2026-04-15,23811,6746,280,12,34
2026-04-16,23848,11919,364,31,48
2026-04-17,23877,5063,104,18,28
2026-04-18,23898,8685,360,11,17
2026-04-19,23927,12173,338,24,79
2026-04-20,23939,5701,215,10,13
2026-04-21,23969,12019,502,45,38
2026-04-22,23983,9253,343,27,47
2026-04-23,24025,10876,389,37,71
2026-04-24,24067,7170,191,13,28
2026-04-25,24082,11587,297,15,67
2026-04-26,24095,12599,578,43,32
2026-04-27,24095,7565,334,26,35
2026-04-28,24114,5437,220,20,14
2026-04-29,24120,9740,267,20,27
2026-04-30,24160,8411,198,33,18
2026-05-01,24178,6029,216,11,36
2026-05-02,24198,13193,266,38,75
2026-05-03,24226,11441,235,14,44
2026-05-04,24259,5549,259,11,31
2026-05-05,24295,11100,404,21,60
2026-05-06,24328,10981,252,36,54
2026-05-07,24351,9054,408,34,36
2026-05-08,24396,6063,243,15,25
2026-05-09,24401,11993,563,37,41
2026-05-10,24446,8656,386,27,40
2026-05-11,24478,11813,450,31,66
2026-05-12,24491,11176,269,21,48
2026-05-13,24513,7652,161,11,41
2026-05-14,24536,5246,125,19,32
2026-05-15,24557,10504,387,30,57
2026-05-16,24596,11284,535,18,65
2026-05-17,24624,5837,254,18,27
2026-05-18,24653,5932,129,9,27
2026-05-19,24689,8789,384,24,36
2026-05-20,24716,11089,305,16,57
2026-05-21,24756,12070,468,24,69
