date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count,follower_growth
2026-04-01,linkedin,52,6801,2769,105,4,0,,,52
2026-04-02,linkedin,65,6594,2756,94,2,1,,,65
2026-04-03,linkedin,51,9011,3225,120,2,1,,,51
2026-04-04,linkedin,35,6783,2538,99,6,1,,,35
2026-04-05,linkedin,29,9777,3143,163,4,1,,,29
2026-04-06,linkedin,52,25712,12602,646,8,17,,,52
2026-04-07,linkedin,77,14710,6801,361,4,3,,,77
2026-04-08,linkedin,57,10310,4220,205,5,6,,,57
2026-04-09,linkedin,45,9352,3592,219,2,2,,,45
2026-04-10,linkedin,88,9420,3681,186,5,1,,,88
2026-04-11,linkedin,53,11637,5360,238,2,0,,,53
2026-04-12,linkedin,33,6994,3075,129,4,1,,,33
2026-04-13,linkedin,70,8384,3416,182,0,1,,,70
2026-04-14,linkedin,53,6809,2684,132,2,0,,,53
2026-04-15,linkedin,44,5385,2290,95,3,0,,,44
2026-04-16,linkedin,74,3448,1498,149,1,0,,,74
2026-04-17,linkedin,55,6531,2585,86,3,1,,,55
2026-04-18,linkedin,20,5767,2490,113,2,1,,,20
2026-04-19,linkedin,57,5797,2571,84,5,0,,,57
2026-04-20,linkedin,48,6866,2868,110,2,1,,,48
2026-04-21,linkedin,52,5530,2288,93,0,2,,,52
2026-04-22,linkedin,69,4738,1878,80,0,3,,,69
2026-04-23,linkedin,75,3926,1628,66,2,0,,,75
2026-04-24,linkedin,46,3638,1584,76,1,-1,,,46
2026-04-25,linkedin,39,2704,1011,44,0,0,,,39
2026-04-26,linkedin,58,3710,1398,53,2,0,,,58
2026-04-27,linkedin,107,3819,1491,75,2,1,,,107
2026-04-28,linkedin,98,4906,2217,77,13,0,,,98
2026-04-29,linkedin,58,11522,5216,157,13,0,,,58
2026-04-30,linkedin,70,7629,3457,103,2,0,,,70
