date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-05-01,linkedin,232064,10522.0,2862.0,111.0,2.0,0.0,,
2026-05-02,linkedin,232096,19101.0,2726.0,75.0,1.0,1.0,,
2026-05-03,linkedin,232147,18600.0,2660.0,86.0,6.0,1.0,,
2026-05-04,linkedin,232207,16897.0,2190.0,82.0,2.0,1.0,,
2026-05-05,linkedin,232263,14217.0,1946.0,58.0,1.0,0.0,,
2026-05-06,linkedin,232327,11425.0,1543.0,52.0,4.0,0.0,,
2026-05-07,linkedin,232401,12492.0,1575.0,50.0,0.0,0.0,,
2026-05-08,linkedin,232476,10836.0,1766.0,79.0,3.0,1.0,,
2026-05-09,linkedin,232527,6799.0,3287.0,67.0,2.0,0.0,,
2026-05-10,linkedin,232600,4711.0,2443.0,57.0,0.0,0.0,,
2026-05-11,linkedin,232676,4514.0,2122.0,47.0,1.0,1.0,,
2026-05-12,linkedin,232735,4518.0,1994.0,49.0,1.0,1.0,,
2026-05-13,linkedin,232833,4540.0,1985.0,54.0,0.0,2.0,,
2026-05-14,linkedin,232904,5035.0,2269.0,51.0,0.0,1.0,,
2026-05-15,linkedin,232963,3126.0,1388.0,28.0,0.0,1.0,,
2026-05-16,linkedin,233005,2092.0,897.0,16.0,0.0,0.0,,
2026-05-17,linkedin,233058,2224.0,980.0,40.0,0.0,0.0,,
2026-05-18,linkedin,233136,3736.0,1747.0,37.0,2.0,0.0,,
2026-05-19,linkedin,233200,3861.0,1820.0,49.0,1.0,0.0,,
2026-05-20,linkedin,233256,2724.0,1226.0,31.0,1.0,0.0,,
2026-05-21,linkedin,233380,2599.0,1238.0,39.0,1.0,0.0,,
2026-05-22,linkedin,233444,2199.0,995.0,38.0,0.0,0.0,,
2026-05-23,linkedin,233494,1521.0,635.0,7.0,0.0,-1.0,,
2026-05-24,linkedin,233544,1389.0,537.0,26.0,1.0,0.0,,
2026-05-25,linkedin,233545,,,,,,,
2026-05-26,linkedin,233545,,,,,,,
