date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count
2026-05-01,tiktok,85887,,,,,,,
2026-05-02,tiktok,86121,,,,,,,
2026-05-03,tiktok,86097,,,,,,,
2026-05-04,tiktok,86078,,,,,,,
2026-05-05,tiktok,86056,,,,,,,
2026-05-06,tiktok,86040,,,,,,,
2026-05-07,tiktok,86808,,,,,,,
2026-05-08,tiktok,86783,,,,,,,
2026-05-09,tiktok,86770,,,,,,,
2026-05-10,tiktok,86756,,,,,,,
2026-05-11,tiktok,86737,,,,,,,
2026-05-12,tiktok,86724,,,,,,,
2026-05-13,tiktok,86700,,,,,,,
2026-05-14,tiktok,86692,,,,,,,
2026-05-15,tiktok,86677,,,,,,,
2026-05-16,tiktok,86665,,,,,,,
2026-05-17,tiktok,86657,,,,,,,
2026-05-18,tiktok,86651,,,,,,,
2026-05-19,tiktok,86643,,,,,,,
2026-05-20,tiktok,86624,,,,,,,
2026-05-21,tiktok,86610,,,,,,,
2026-05-22,tiktok,86607,,,,,,,
2026-05-23,tiktok,86601,,,,,,,
2026-05-24,tiktok,86605,,,,,,,
2026-05-25,tiktok,86602,,,,,,,
2026-05-26,tiktok,86599,,,,,,,
