date,platform,followers,impressions,reach,likes,comments,shares,saves,posts_count,follower_growth
2026-04-01,x,,511,,4,0,1,,,6
2026-04-02,x,,512,,3,0,2,,,3
2026-04-03,x,,585,,4,0,0,,,8
2026-04-04,x,,515,,8,3,0,,,3
2026-04-05,x,,680,,6,0,2,,,5
2026-04-06,x,,1013,,65,2,56,,,15
2026-04-07,x,,607,,7,1,0,,,8
2026-04-08,x,,358,,4,0,0,,,4
2026-04-09,x,,1461,,3,1,2,,,8
2026-04-10,x,,456,,2,0,0,,,6
2026-04-11,x,,464,,7,0,1,,,5
2026-04-12,x,,304,,1,0,1,,,4
2026-04-13,x,,615,,10,2,2,,,7
2026-04-14,x,,271,,1,0,0,,,7
2026-04-15,x,,449,,5,2,0,,,2
2026-04-16,x,,435,,4,1,0,,,4
2026-04-17,x,,329,,3,0,1,,,2
2026-04-18,x,,522,,2,0,0,,,5
2026-04-19,x,,171,,1,0,0,,,6
2026-04-20,x,,235,,3,0,0,,,2
2026-04-21,x,,471,,4,1,0,,,4
2026-04-22,x,,310,,0,0,0,,,3
2026-04-23,x,,337,,2,0,0,,,6
2026-04-24,x,,240,,0,0,0,,,4
2026-04-25,x,,239,,0,0,0,,,7
2026-04-26,x,,276,,4,1,0,,,4
2026-04-27,x,,205,,3,0,0,,,5
2026-04-28,x,,235,,1,0,0,,,5
2026-04-29,x,,383,,6,1,0,,,12
2026-04-30,x,,333,,7,1,0,,,7
